what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1385397212181
java.specification.vendor,sysinfo,,,"Oracle Corporation",1385397212181
java.specification.version,sysinfo,,,"1.7",1385397212181
java.vendor,sysinfo,,,"Oracle Corporation",1385397212181
java.version,sysinfo,,,"1.7.0_25",1385397212181
java.vm.info,sysinfo,,,"mixed mode",1385397212181
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1385397212181
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1385397212181
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1385397212181
java.vm.specification.version,sysinfo,,,"1.7",1385397212181
java.vm.vendor,sysinfo,,,"Oracle Corporation",1385397212181
java.vm.version,sysinfo,,,"23.25-b01",1385397212181
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385397212577
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1385397212626
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1385397212629
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.505.v201202020200,"org.eclipse.jst.j2ee.ejb",1385397212886
started,bundle,org.eclipse.jst.j2ee.jca,1.1.501.v201111030500,"org.eclipse.jst.j2ee.jca",1385397212888
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1385397212921
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1385397212958
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1385397218758
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385397221423
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385397226376
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1385397231460
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1385397231517
error,log,,,"Publishing failed with multiple errors",1385397231900
